Sequence,Score
3/XX5/3/XX7/4/X03,192
XX9/XX4/X2/X3/0,203
XXX1/XXX-/2/9/5,207
XX4/X1/5/6/4/5/X40,178
5/3/6/2/X1/X9/XX84,191
X3/3/X-/X-/8/8/X97,195
7/5/8/XXXX6/X-/9,218
XX2/7/X5/XX1/X93,202
8/2/1/X4/XXX8/X73,201
7/XXXXXX6/6/3/8,233
X5/XX1/X2/1/X7/10,184
1/3/XXX8/-/X9/1/6,188
5/XX4/7/6/-/2/6/X63,174
6/2/3/9/-/X4/7/XX02,163
X-/6/1/2/X2/XXX36,191
XXXXX9/XX5/X05,239
9/XX4/X8/X8/XX17,203
X2/9/4/1/5/8/XX2/8,177
XXXX-/6/6/5/6/5/8,196
9/XXX6/XXX7/X43,230
X2/XXXX-/2/XX102,207
XX-/2/XXX-/X3/5,197
X9/X1/XXX2/3/2/2,189
8/-/3/4/X2/X7/X6/8,175
6/3/XX9/5/3/3/1/X80,172
XXXX5/-/X5/X-/9,214
XXX3/XXXXX7/2,242
XXX9/X7/1/1/X3/6,197
XXX5/X8/4/7/X9/1,197
X7/X8/-/5/4/XXX41,188
1/X2/X1/XXXXX68,240
6/5/XXXXX6/X3/5,226
X6/4/XXXX8/7/2/3,204
X-/XXXX7/X6/X87,232
1/6/5/8/7/6/-/XXX72,188
XX1/4/5/2/XX9/3/6,180
-/3/X8/X2/XX2/X76,198
X3/6/7/-/3/6/XX4/0,166
XXXX3/3/X-/XX57,223
XX-/6/XXX1/7/X17,202
XX1/X4/5/6/X6/-/6,178
XXXX3/5/X7/X-/5,213
XXX4/X1/XX9/1/4,208
1/1/XX-/-/XXX-/3,184
5/XXXXX3/X3/-/2,215
XXX2/4/XX1/4/X85,204
X9/XX6/X-/3/X2/5,194
6/X-/4/X8/XXXX71,219
X5/3/8/8/X2/9/6/X00,174
2/X1/5/3/4/6/XXX88,202
1/X2/4/2/2/8/X5/X83,177
X1/XXXX9/X7/X32,224
X6/XXX-/XX2/-/9,201
XX7/6/XX7/5/XX04,199
3/XX2/XXXXX8/10,232
XX2/2/XX1/7/3/X67,188
7/X1/X-/XXXX8/8,226
X1/X6/XXX2/X8/2,204
XX4/XX9/5/X3/5/10,195
8/XXX4/XXX7/6/6,223
4/X1/7/XX5/2/6/X78,195
-/5/X9/2/XX1/X2/7,185
8/XX5/XXXX-/X51,221
X2/X9/6/XX1/X8/1,188
X4/XX7/6/XX9/X24,208
2/XXX2/X-/X4/-/6,198
XXX-/XX7/XX9/4,220
X4/X-/5/XXX7/X910,222
-/-/8/X3/7/X7/9/8/6,178
X1/2/7/7/-/6/9/X6/6,167
XXX4/4/X2/X5/9/0,197
3/2/XXXXX1/XX103,219
X5/9/X1/-/XXX3/0,192
2/8/X-/3/-/3/X2/X31,168
9/7/X7/9/XXX9/X73,215
XX6/2/X-/X6/XX30,194
X9/X5/XXX8/X3/4,212
XX-/XXXXXXX97,265
X7/1/4/XXX-/X6/0,185
9/XX1/7/8/9/XX7/6,198
9/X1/XX1/4/XX4/0,189
X-/4/XX2/7/9/6/3/7,178
6/7/XX5/6/4/4/XX71,191
XXXXX1/X9/1/5/10,209
X3/1/X-/X5/X3/X40,185
9/XXXXXXX9/X09,258
2/X5/6/XXXXXX38,240
4/2/7/4/XX-/X2/X38,184
XX2/XX7/3/8/6/X100,188
XX8/X9/6/X4/X1/3,197
XX6/1/7/XX5/X4/1,190
9/9/9/4/6/6/8/6/XX62,182
6/4/XX8/X6/XXX28,214
5/9/XXX6/8/4/XX13,202
3/X8/XXXX2/X9/9,221
5/8/6/XXXXX-/X97,230
3/5/8/5/X7/9/X-/X810,195
6/X8/X5/X7/2/X-/5,187
7/XXX8/XXXX6/6,240
XX-/X2/X1/XX2/10,194
X5/2/3/XXX5/XX19,201
X3/3/2/7/X4/7/6/X80,173
XXX3/6/3/X7/-/1/0,173
XX8/XX3/-/XXX73,218
-/5/9/XXXXX9/X05,228
4/7/XXX6/6/X8/7/4,200
X9/6/3/2/9/X5/5/3/7,165
X6/XXXXX6/X8/6,232
5/5/X2/-/1/XX3/X28,179
XX7/X9/XXXX5/10,224
2/4/2/7/6/XXX6/X52,192
XX-/XX3/8/XXX95,224
1/XXXXX9/7/X-/3,229
X5/XXX8/XX5/2/4,209
X8/7/X-/X6/X2/-/0,177
XXX5/XX6/XXX52,233
XX9/XXXX9/7/8/10,225
XXX6/X5/6/7/9/X010,200
X3/XXXX7/X4/3/1,211
X7/X5/X4/X4/X1/6,196
2/7/7/6/X4/XXX5/1,196
1/8/XXX4/5/-/XX78,209
X7/2/3/7/7/X5/6/3/6,164
X7/9/X6/X2/7/X2/4,190
X6/X5/XX3/7/5/-/8,183
7/X3/3/4/X5/-/XX13,172
XXX7/7/3/8/2/X6/10,189
XX5/6/4/X8/7/X2/9,191
8/8/9/XX-/XXXX74,225
-/XX5/8/-/XXX8/1,202
XXXX6/X5/4/-/X73,210
8/2/X4/2/9/XXX2/6,191
XX6/8/X-/XXXX510,231
6/XX8/X8/X5/XX59,217
XXXXXXXX5/5/5,255
XXXX1/XXX3/9/5,228
XXXX3/3/XXX8/3,227
X9/5/XX7/2/6/1/X71,179
4/4/XXX8/3/XX6/0,201
1/4/2/XXXX3/XX93,220
4/X7/5/4/X1/XX-/8,187
X7/3/X2/XX-/-/1/6,170
-/-/XX4/X8/X-/X13,188
XX5/X5/X3/5/4/X010,186
8/9/4/-/-/XXX6/X27,188
X6/5/X4/4/1/XXX109,192
7/5/6/XXXXXXX05,236
7/4/1/7/XXX1/2/X31,179
X3/5/-/XXX5/5/2/1,178
5/6/X-/X3/XXX4/10,202
X-/5/X2/XXX1/8/6,200
-/7/XX5/4/4/X3/X13,184
X8/XXXX5/6/X7/7,218
XX9/X-/-/1/XX6/5,191
4/X7/7/X6/7/9/X6/5,188
XX5/XX4/-/X-/2/7,188
4/XX1/XXXXXX86,253
X4/XXX5/-/4/9/X52,195
X6/X-/1/XX2/2/8/9,182
4/X6/X4/2/-/X8/2/6,170
XXX6/-/XX6/X1/4,206
XXXXXXX9/8/X32,252
XXXXX8/5/7/XX28,232
X6/XX9/XXXXX01,230
XX-/X7/3/XX8/X99,209
5/2/4/4/X6/XXXX24,198
4/XX9/X2/7/XXX40,214
4/XX3/-/X6/X1/X29,194
X4/X3/X7/X8/XX91,209
1/X1/2/7/X3/5/XX84,194
7/9/XXXXX4/5/X01,219
X4/9/9/X5/X5/XX40,196
9/9/2/XXX1/X9/X49,205
X9/6/X3/-/X-/2/X210,174
4/XX5/4/4/X1/X1/10,185
XX7/XX9/XX4/-/4,204
XX8/XX8/XXX2/2,220
X9/1/X5/XXXXX79,234
4/6/2/XX5/8/6/XX06,183
X8/X3/3/XX5/X-/4,192
8/9/X7/7/9/XXX1/5,201
8/XX9/5/X5/1/XX22,191
X5/XXXX5/X2/X62,223
X2/4/XXX2/XXX15,213
XX3/8/1/X9/4/7/1/0,164
3/XX6/1/X7/X6/6/0,183
4/X6/5/5/4/2/X1/X24,172
X2/X1/XX9/6/2/X61,194
XXXXX6/4/XXX010,232
X9/X3/X-/X8/-/X76,193
9/X-/X5/XX6/5/7/9,197
X6/6/X2/X-/9/X9/2,187
XX3/XXXX-/XX35,224
XXXX5/9/XX6/X73,230
9/2/3/X9/9/9/1/X1/6,170
X6/XX1/4/-/X9/5/6,176
XXX8/XX9/XX7/5,229
6/6/X5/XX2/X2/9/4,191
8/5/XXX6/-/2/4/7/4,178
X3/XX4/1/2/XXX67,206
XXXX1/X1/3/7/X37,211
X9/X6/XXXXXX05,235
7/9/XXXXX1/-/X48,222
XXXX8/3/XX8/X18,228
2/2/1/XX6/-/XXX38,193
X7/X6/X6/XX1/6/10,189
X2/XXXX8/6/5/X76,222
XXX-/3/3/8/9/7/X60,186
X8/-/5/XX7/6/6/X45,183
5/X8/XXXX-/2/X78,217
-/X2/X1/8/1/7/X9/3,179
3/XX6/XX1/XXX41,216
8/5/X4/X2/1/X6/X17,184
X5/9/XX6/XXX5/6,216
6/XXXXXXX-/2/4,236
3/XX-/5/1/6/X8/X31,176
6/XX5/XXX9/X7/4,218
XX8/X5/4/1/X1/X89,200
-/7/X4/2/3/X6/XX110,177
X-/1/XXX8/X3/4/9,202
6/XX5/XXX-/XX310,216
5/-/2/XX9/7/XX7/6,191
XX1/XXX6/9/XX99,233
X-/X4/X1/X1/8/X79,204
XX5/X5/XX2/X-/4,201
X9/2/1/X7/9/XXX55,197
1/9/-/X4/XXX5/X26,202
X4/XX5/X9/4/X9/1,190
X7/9/6/XX8/XX4/1,198
XX4/6/X1/9/8/5/1/4,177
2/2/1/XXXXXX1/8,222
1/8/XX8/XX5/8/8/0,197
5/1/8/3/8/1/4/4/1/X610,154
XX-/X-/-/X4/3/X17,181
X8/3/XXXX5/XX910,237
XXXX7/-/X2/3/-/2,192
X5/6/7/XX8/4/1/X101,179
2/9/-/8/X4/4/X1/2/6,169
XX9/4/4/X2/8/-/7/5,177
2/XXXX6/X1/X7/0,216
2/4/6/X3/X6/3/1/-/0,154
3/-/1/XXXX-/8/7/9,195
7/-/9/3/X1/XXXX69,213
XX7/5/X5/4/XX7/4,197
X3/-/1/X6/4/X7/6/2,163
6/X7/XXX7/6/4/X1010,200
XX4/X6/XXX3/X41,212
6/XXXX5/4/X3/9/6,214
X5/3/2/2/1/X5/X5/5,163
3/6/XX7/XXXX5/2,220
X3/XXX3/X4/4/5/5,197
X3/X1/-/3/X7/XX1010,177
X6/X7/5/XXXX6/0,211
X3/8/8/8/9/XX6/X63,198
X7/XXX5/1/2/4/9/1,182
5/9/6/9/5/X5/1/-/X59,174
X8/2/5/XXX1/4/2/2,176
XX8/-/3/X9/5/XX92,196
-/X7/XXXXX9/X16,236
3/XXXXXX2/XX02,234
6/5/-/7/X-/7/-/X1/8,167
7/3/XX7/XX8/X5/1,199
X6/8/X1/X-/XXX79,221
6/X6/3/8/X2/X2/3/6,180
XX1/XXX6/X9/2/6,205
-/X6/9/1/-/X9/XX94,192
7/XX2/6/X6/XX4/0,192
X2/-/6/8/2/XXX4/4,184
2/X7/XXX4/XX2/8,214
X3/X-/4/4/8/XXX37,199
1/X2/2/X8/XXX9/3,204
1/X-/XX7/X9/4/6/10,189
XX3/XXX1/X8/1/6,201
3/X6/8/2/X7/3/X9/0,173
X9/XXX8/4/5/7/8/7,199
XX9/1/-/5/XXX-/1,186
X6/XXX5/XXX6/7,228
5/6/X6/XX7/5/5/1/1,175
9/9/XX9/8/8/9/6/4/2,185
1/-/X3/3/3/4/X-/X56,171
X1/2/9/3/3/XXX3/4,184
XXX3/X4/XX7/6/7,213
6/-/XX8/7/4/X6/X78,194
XX8/X2/XX9/2/X55,209
XXXXX3/1/3/-/8/2,197
XX3/X6/8/X-/2/X50,188
7/X7/7/X7/XX2/X03,192
1/6/X8/-/9/XX9/X610,198
X7/XXXX1/5/XX76,226
8/X6/8/X9/X1/1/X54,188
X1/5/XX4/XXXX1010,213
XXX5/X3/4/9/XX90,216
X-/8/-/X1/X4/X9/10,180
6/XX-/XX3/5/-/7/7,182
7/1/XX1/X2/1/6/3/3,165
X5/XX8/-/9/4/X-/2,183
1/X8/3/XXX6/X7/5,204
X3/1/XX6/X6/9/X19,196
XXXXXXX3/5/7/4,239
7/X5/7/4/X1/X7/1/4,176
XXXXX-/X1/8/X53,226
X6/1/5/1/5/XXXX810,208
XX-/X1/XX2/9/X84,203
X9/XX5/XX6/1/-/3,185
X3/XX9/3/4/XXX37,209
7/XXX3/X3/X1/X90,212
XXX9/9/2/X4/2/X69,207
X9/2/9/8/X9/4/2/X07,172
1/8/9/XXXX4/8/1/7,207
4/XX3/2/8/X8/X3/7,190
1/XXXXXXXXX82,278
XX1/XX2/6/3/X5/9,191
4/6/2/XX-/X-/XX08,186
XXXXXX1/XX1/7,239
6/X6/X4/X9/XXX310,211
X-/6/X4/XX6/XX810,218
8/X3/XXX6/X3/X77,220
4/8/-/-/XXXXXX88,232
XX-/X6/3/2/9/2/X78,181
XX5/1/X4/6/9/4/X10,176
XXX8/XXX7/XX61,238
-/XX7/8/X5/-/7/X89,199
XXX3/1/X2/-/XX91,203
X8/XX1/2/XXXX64,219
XX4/6/5/X8/X1/X03,188
1/X1/6/XXX5/4/X93,207
7/XX5/9/XXXX-/5,219
X-/X2/3/XXXXX105,221
7/XXXXXXXXX64,276
5/9/XXXX6/X1/8/10,215
X3/3/XXX8/9/-/1/3,184
-/XX2/6/3/XXXX43,212
X5/XX7/-/8/XXX52,207
X1/8/7/5/-/XXX6/6,192
XX6/3/X2/XXXX74,227
3/X2/8/5/X8/XX8/2,193
XX9/XX5/8/4/4/6/3,189
6/XXXXX4/XXX73,251
XX7/6/2/-/3/4/XX21,167
X5/X4/2/XXXXX32,220
XX6/3/X-/X5/XX210,197
4/XXXX5/X6/X1/9,224
9/X6/X8/XXXX5/9,224
XX3/5/2/2/3/XX4/5,174
2/XXXX6/X6/7/2/2,207
XX7/XX4/7/9/X-/7,204
5/X8/1/X4/XXX5/8,204
XXX3/-/3/X2/8/2/0,176
XXXXXXXX7/1/7,255
7/X5/9/XX-/6/X5/2,187
X4/XXXXXX4/X40,238
4/XX9/X5/X7/XX19,210
7/4/XXXXXX7/X55,241
9/-/9/XXXXX9/X104,224
4/2/3/X4/7/XXX4/10,188
X9/8/3/X-/9/8/XX104,185
XX5/X4/6/1/3/9/8/9,181
XXX9/X9/6/7/XX35,213
2/XX4/5/9/XXX8/1,207
X2/XXXX-/3/8/2/4,197
XX3/XX8/X6/XX12,205
2/-/2/XX1/X7/9/1/7,170
3/7/4/X6/1/X5/1/X84,175
XX-/X-/XX9/7/5/10,193
8/X5/6/XXXX3/6/9,214
9/5/4/X5/X-/6/-/X19,175
5/4/X6/XX3/X3/X29,198
1/2/2/7/XX4/7/1/X80,171
X2/6/X1/X5/XX2/7,195
XXXX7/X1/X6/2/6,215
X5/3/9/X7/-/XX7/6,185
3/3/X1/8/8/1/XXX15,187
X5/9/4/2/1/X1/3/X58,172
6/-/XXXXX5/4/X36,218
4/-/XXX3/6/4/X2/8,191
X7/3/XX7/X6/XX58,208
XXX5/XX8/X9/X510,225
XXX1/2/-/XXXX14,209
4/3/5/5/4/5/X5/X5/10,164
XX6/4/2/7/XX2/X06,187
XXX8/1/X3/XXX88,233
2/3/X2/XX5/XX6/6,200
XXXXXX7/1/X4/6,234
XXXX1/XX2/9/1/2,205
XXX3/XXX2/6/X38,222
XX9/X9/6/9/2/X5/7,193
8/X1/XX5/XXX2/0,207
XX8/X1/7/3/XX2/8,198
X8/X2/3/X7/X5/X63,192
X8/7/9/5/4/7/X4/X45,181
9/-/4/X5/XXX8/X79,208
XX4/XXX1/4/X6/8,207
XXX9/5/X9/X2/X61,211
3/1/XX3/XXXXX33,223
6/8/3/XXX8/X5/2/6,197
4/XX7/XXXXXX99,264
X9/3/X3/XX4/1/X87,193
XXXX3/8/9/XX5/9,224
X5/6/XX1/X5/7/X34,191
X9/8/XX7/8/-/XX25,192
8/XXX6/8/5/9/X5/2,200
X7/3/X5/5/X2/X9/8,186
XXXX8/3/2/9/XX33,211
3/XX1/X-/3/XX6/7,197
7/5/XX1/7/XXX1/5,199
2/1/7/8/-/XX1/8/X75,177
5/9/XXXXXX1/4/8,232
6/7/9/1/X-/X2/X8/7,184
XX5/XXXXX2/6/10,225
3/X4/5/4/8/8/9/XX97,199
XXXXX3/2/XX-/9,224
X-/9/1/X1/1/3/2/5/2,153
X3/X6/5/6/X2/X9/9,190
6/2/X2/4/7/1/X5/X12,167
5/X2/5/-/X-/XXX82,203
X2/X-/3/XXXXX59,232
5/6/1/5/XXXXXX40,220
XX-/3/-/X-/1/4/6/5,159
7/X3/X2/X-/XX4/9,203
5/7/1/X3/8/3/4/5/X43,165
4/XXXX5/9/XX9/7,230
5/X4/9/XX1/2/2/6/10,172
8/1/3/XX8/XX5/3/9,189
7/6/XXXXX6/3/7/1,213
XX3/XXXX8/X9/0,221
4/XXXXXXX6/X99,264
9/X2/5/X9/5/3/5/4/7,169
XX1/2/XX3/6/X9/7,189
3/2/7/7/5/7/XX2/X510,182
XX-/5/9/XXX3/X31,201
XX1/X2/3/XXX5/3,202
X4/1/X9/X8/5/7/1/10,166
XXXX3/1/XX1/X11,207
X2/X7/-/2/1/X8/X91,173
XX2/XXXXXX8/2,242
XX-/3/XXXXXX13,228
X5/X7/XX-/8/1/X05,184
XX2/X5/XX3/7/X42,198
5/-/X-/XX7/3/6/2/3,171
2/5/XX9/4/4/9/X4/0,181
XXXXXX9/8/XX33,246
-/3/XXXX7/1/-/X54,200
6/-/X4/X-/7/1/5/7/2,162
X8/XX1/5/X4/X9/8,194
9/X5/X3/4/1/9/5/9/1,169
4/2/4/XXXX6/XX36,214
7/8/4/XXX6/8/4/X94,203
1/XXXX9/4/X5/X100,215
3/XXX2/2/4/XXX82,216
8/6/XX2/2/1/X-/X48,183
XX4/X8/X2/2/XX36,198
X3/XXXXXXX2/9,251
X1/9/XX2/X7/4/X107,194
X8/XXX3/X4/-/X71,201
XXX7/XX8/9/1/X80,213
8/XXXXX4/5/XX20,223
X2/X3/3/5/9/XXX99,214
6/X9/7/XXXX8/X21,218
XXXX6/XX7/6/2/6,217
1/XX8/X8/XXX5/3,216
8/7/1/XX4/1/7/7/8/7,172
X3/X9/4/XXX1/4/4,193
XXX7/-/XX5/XX910,231
5/XX-/X3/XXX1/5,206
X3/1/6/5/X1/X-/1/10,165
XXX4/XX6/3/8/5/9,205
X5/X-/1/8/1/X-/9/3,172
6/XXX2/XXX-/5/2,209
9/XX7/1/X6/XX2/8,198
X2/X2/8/X2/XXX55,213
2/4/X5/X9/XX1/3/3,181
XX3/XXXXX5/X81,237
X3/X5/X4/X7/XX07,197
9/XX9/X1/X2/XX1010,203
XXXXX3/XXXX81,260
1/XX3/XXX7/8/2/2,202
XXXXXX5/9/9/X54,242
4/8/X-/7/3/X7/8/9/3,178
XX5/7/X3/XXXX1010,216
XXX9/X1/XXXX010,231
XXX4/X-/8/6/X5/7,205
7/2/X-/XX6/8/4/X91,190
XX9/4/X-/2/1/6/X89,189
X8/1/3/1/X5/X-/3/2,160
1/XX4/X1/X7/X5/1,195
X1/3/XX1/5/9/-/X39,180
XXXX1/X9/XXX84,241
8/9/5/2/X3/8/1/XX109,177
X3/XX7/5/XXXX49,229
5/1/XX8/8/X5/XX74,205
XXX1/X7/XXX8/4,223
4/XX6/4/6/9/9/X9/3,187
X6/XX9/9/1/XXX1010,203
-/X6/XXX6/5/XX810,227
-/2/XXXXX9/8/9/4,222
4/X4/4/X6/2/X3/5/5,176
6/XXXXX9/9/1/7/6,222
XXX-/8/8/-/XX3/8,197
XX9/5/XXXX5/1/0,210
X3/1/8/3/3/-/7/8/8/7,155
XX9/X2/XX-/X6/9,208
X1/XX9/XXXX8/7,234
XX3/2/5/X3/XXX12,194
XX3/X-/1/2/XXX36,198
5/9/X-/X3/5/XX9/8,201
X7/X9/XX1/5/1/3/6,176
6/4/1/2/4/XX2/1/X39,166
-/X7/XX7/5/XXX27,213
XX3/XX9/1/9/1/1/7,181
6/XXX2/3/XXXX57,232
3/X-/6/X5/7/X2/9/10,184
8/5/-/XXX5/XXX55,215
6/7/XX4/XX5/2/X28,198
X7/XX1/X2/6/4/-/9,180
XX7/XXXXXX7/9,253
XXX1/6/X2/2/4/3/9,185
X9/X4/4/XX8/-/4/1,177
5/1/XXXX4/X2/X77,219
XXXXX7/9/-/8/X25,221
9/3/XXX9/2/X4/X62,202
X8/5/XXXX8/2/X105,212
X4/9/X3/X5/XX5/2,196
7/7/8/4/8/X7/XX1/3,181
X-/6/XX6/2/XXX63,209
X1/XXXX-/3/5/6/5,199
4/5/4/6/XXX7/7/-/7,186
-/6/5/X4/8/XXX-/4,193
XX4/9/4/7/-/X1/X93,186
5/2/5/XXXX1/4/X09,201
X8/9/X9/X3/4/3/X17,184
X7/X3/8/XXXX5/1,214
X-/X5/-/XXX-/5/2,187
9/X5/-/5/7/XX8/1/7,178
5/6/X1/7/XX4/XX26,197
XX4/4/4/6/3/XXX07,188
8/2/1/X4/2/5/X6/7/8,165
3/-/XX1/X-/6/X5/7,184
2/X8/1/7/4/1/X6/X06,169
5/XX9/8/-/9/X1/X98,203
XX3/X1/9/XX5/5/0,192
XX2/-/X7/X3/XX45,195
XXX-/7/5/X6/4/1/8,185
3/X7/XX5/X2/3/6/4,188
XX4/1/X8/2/7/XX72,190
4/XX4/5/1/6/8/9/1/0,164
XX6/XX2/X7/XX18,208
X8/XX8/6/X9/6/X56,201
XXXX4/XXXX6/3,243
XXX2/X-/X6/7/X710,215
7/XXXX3/-/2/8/X103,198
6/4/X5/XXX3/X8/1,198
X1/XX5/X3/1/XX46,200
4/7/4/4/1/X3/X3/X70,173
X9/XX8/XX7/XX85,226
8/X1/4/XX9/X9/X109,204
XXXXXXX5/XX57,262
2/4/XX-/X5/XXX54,208
XX7/X-/XXX8/X101,218
-/XX2/9/X8/X5/9/9,199
2/2/XX8/-/2/X3/X26,180
9/XXXX4/X3/XX65,231
3/9/X7/-/8/1/8/X3/10,168
X2/3/X7/X5/5/X-/3,181
X4/9/X2/2/X3/9/8/7,185
XXXX5/-/XX6/X81,220
5/8/2/XX4/9/3/XX64,192
XXX7/X2/2/X4/X101,202
8/-/3/8/X5/6/9/XX79,189
2/7/XX1/2/XX2/X76,195
-/2/9/XX1/X4/XX23,189
3/7/5/X8/3/XX7/3/5,180
X5/X6/XXXXX3/0,223
8/-/XXX7/9/8/6/X28,200
4/X3/X4/XX7/1/X29,199
XXX3/2/8/X7/X6/3,196
X3/8/7/X5/XXX4/4,203
X5/5/1/X7/5/8/XX73,186
XXX-/X5/X1/1/X57,203
XXX1/XXXXX1/10,234
8/X5/X8/7/1/X8/X21,181
X-/XXX7/XX9/X80,224
XX3/X2/X3/4/6/X92,194
XXXXXXX6/X6/1,247
-/3/8/XXX6/9/X-/10,198
9/X7/-/1/3/X2/8/X210,168
-/X-/XX1/9/X7/5/3,188
X9/XX-/XX9/XX83,218
XX9/X5/XXX8/X107,226
9/X8/7/8/X8/3/6/X31,178
9/8/8/X1/XXX2/8/2,198
XXX3/XXXX2/X08,233
8/2/XX3/X5/XXX79,218
7/XXX4/XX4/X1/5,213
5/1/XX9/5/5/-/XX11,173
X5/XXXXXX4/X43,241
XX1/2/1/XX-/XX64,190
-/5/3/1/XXXX1/X77,204
X5/XXXXXXXX84,270
X-/2/XXX4/X6/X52,203
XX2/XX5/5/5/XX33,196
9/2/XXXX3/9/XX37,217
XX9/XX7/X1/3/X52,206
3/XX8/6/4/XX7/X19,205
7/4/7/X2/X4/XX1/9,191
6/-/XXXXX8/7/5/0,210
5/XXXX2/7/X1/X11,211
XX3/5/X6/2/6/9/X28,185
7/X3/7/6/5/XXX-/2,190
XX9/XXX5/X4/9/10,215
XX1/XX3/XX4/8/6,202
9/1/7/X6/XXXX1/2,201
6/XXXX8/6/1/XX17,214
X9/X4/2/6/X-/3/8/5,174
7/X3/4/-/-/6/9/XX410,173
2/X9/XXX6/XXX12,220
4/XXX-/X9/XXX21,215
XXXX3/8/-/2/X1/4,197
X8/XX6/2/3/9/-/1/8,169
3/XXXX9/XXXX47,254
3/3/X3/XXXXXX50,233
X8/XXX9/-/XX1/1,201
XXX5/6/5/7/XX3/8,204
X3/X-/XXX8/X1/7,215
6/9/2/5/7/X7/XX8/8,189
X3/9/X5/-/XXXX55,214
X8/1/X6/XXXX4/2,207
7/9/XX8/X-/X4/X64,207
6/X5/XXX3/4/XX17,206
X6/6/XX4/4/XX-/8,192
XXX2/X9/X7/7/4/0,193
X7/XX4/3/2/9/-/4/8,170
XXXXX-/X7/XX62,234
XXX1/6/X6/5/X7/3,195
4/X6/5/X1/X7/XX08,193
1/9/1/8/X9/6/9/XX21,178
XXX6/X-/X5/XX17,215
X3/7/-/X5/3/9/3/X14,167
X3/X6/8/X2/9/XX13,192
4/X5/1/2/1/8/X1/X31,166
-/6/-/X9/4/X-/XX33,179
XXXX5/2/3/X-/5/6,201
7/2/X1/6/6/4/9/8/3/7,165
6/4/XX4/6/1/7/XX69,193
6/6/4/-/2/XX-/4/9/10,157
5/6/X2/9/XXXXX97,240
XXX9/5/8/XXXX510,239
-/1/X6/6/9/XX9/X82,195
X6/XXXX1/X-/X104,217
XX8/8/5/8/XXXX87,232
4/5/1/6/9/6/XXXX36,199
X7/XX8/X2/X2/X29,209
X9/7/5/7/7/X-/X8/3,179
X9/X6/3/XX2/7/-/4,176
